ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions
103,Haircare,Dry Hair,Straight,Redness; Roughness,Castor Oil; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
104,Haircare,Dry Hair,Oily,Itching; Breakage,Castor Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
105,Haircare,Premature Greying,Curly,Uneven Tone; Dull Appearance,Rose Water; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
107,Haircare,Frizzy Hair,Oily,Dull Appearance; Hair Shedding,Castor Oil; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
111,Haircare,Premature Greying,Straight,Breakage; Dry Texture,Banana; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
112,Haircare,Premature Greying,Oily,Scalp Irritation; Excess Oil,Rose Water; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
113,Haircare,Split Ends,Curly,Uneven Tone; Inflammation,Honey; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
114,Haircare,Split Ends,Straight,Hair Shedding; Itching,Yogurt; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
119,Haircare,Frizzy Hair,Normal,Roughness; Itching,Fenugreek Seeds; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
120,Haircare,Split Ends,Normal,Uneven Tone; Flaky Skin,Aloe Vera; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
121,Haircare,Dry Hair,Curly,Inflammation; Dull Appearance,Olive Oil; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
122,Haircare,Itchy Scalp,Normal,Dark Spots; Scalp Irritation,Gram Flour; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
123,Haircare,Dry Hair,Curly,Excess Oil; Breakage,Aloe Vera; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
124,Haircare,Dandruff,Oily,Itching; Excess Oil,Olive Oil; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
125,Haircare,Itchy Scalp,Normal,Dull Appearance; Inflammation,Gram Flour; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
126,Haircare,Split Ends,All,Redness; Excess Oil,Multani Mitti; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
127,Haircare,Premature Greying,Dry,Redness; Scalp Irritation,Papaya; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
129,Haircare,Hair Fall,Dry,Scalp Irritation; Inflammation,Gram Flour; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
131,Haircare,Hair Thinning,Straight,Dark Spots; Roughness,Aloe Vera; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
139,Haircare,Oily Scalp,Dry,Scalp Irritation; Dark Spots,Castor Oil; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
140,Haircare,Premature Greying,Curly,Inflammation; Flaky Skin,Turmeric; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
141,Haircare,Oily Scalp,Normal,Dark Spots; Breakage,Potato Juice; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
142,Haircare,Premature Greying,Dry,Scalp Irritation; Uneven Tone,Onion Juice; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
143,Haircare,Hair Growth,Straight,Dark Spots; Dull Appearance,Yogurt; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
146,Haircare,Split Ends,All,Redness; Itching,Multani Mitti; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
147,Haircare,Itchy Scalp,Normal,Excess Oil; Dull Appearance,Potato Juice; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
150,Haircare,Itchy Scalp,Oily,Breakage; Dark Spots,Lemon Juice; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
151,Haircare,Dry Hair,Straight,Dark Spots; Excess Oil,Olive Oil; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
153,Haircare,Split Ends,Dry,Inflammation; Excess Oil,Coconut Oil; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
154,Haircare,Hair Thinning,All,Dry Texture; Redness,Coconut Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
157,Haircare,Itchy Scalp,Dry,Uneven Tone; Excess Oil,Castor Oil; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
159,Haircare,Oily Scalp,Dry,Redness; Inflammation,Onion Juice; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
162,Haircare,Hair Fall,Curly,Dark Spots; Scalp Irritation,Honey; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
163,Haircare,Split Ends,Dry,Inflammation; Roughness,Neem Powder; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
164,Haircare,Dandruff,All,Excess Oil; Uneven Tone,Neem Powder; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
167,Haircare,Split Ends,Oily,Hair Shedding; Dark Spots,Fenugreek Seeds; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
170,Haircare,Dandruff,Curly,Flaky Skin; Itching,Fenugreek Seeds; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
172,Haircare,Frizzy Hair,Dry,Breakage; Excess Oil,Rose Water; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
173,Haircare,Dandruff,Oily,Breakage; Flaky Skin,Honey; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
177,Haircare,Hair Fall,Curly,Hair Shedding; Excess Oil,Rose Water; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
178,Haircare,Premature Greying,Curly,Uneven Tone; Hair Shedding,Papaya; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
180,Haircare,Itchy Scalp,Normal,Breakage; Hair Shedding,Banana; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
182,Haircare,Hair Growth,All,Roughness; Inflammation,Egg Yolk; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
183,Haircare,Oily Scalp,Dry,Hair Shedding; Dull Appearance,Potato Juice; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
184,Haircare,Itchy Scalp,Oily,Excess Oil; Itching,Multani Mitti; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
185,Haircare,Itchy Scalp,Oily,Itching; Scalp Irritation,Papaya; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
186,Haircare,Split Ends,Dry,Flaky Skin; Excess Oil,Coconut Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
188,Haircare,Dry Hair,All,Redness; Excess Oil,Curd; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
191,Haircare,Hair Growth,Oily,Flaky Skin; Dry Texture,Olive Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
192,Haircare,Split Ends,All,Excess Oil; Redness,Papaya; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
193,Haircare,Split Ends,Normal,Itching; Scalp Irritation,Turmeric; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
196,Haircare,Hair Thinning,Straight,Hair Shedding; Dark Spots,Green Tea; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
197,Haircare,Hair Thinning,Oily,Uneven Tone; Dark Spots,Rose Water; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
198,Haircare,Itchy Scalp,Normal,Inflammation; Breakage,Honey; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
202,Haircare,Oily Scalp,Oily,Itching; Excess Oil,Olive Oil; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
204,Haircare,Frizzy Hair,Oily,Dark Spots; Dry Texture,Castor Oil; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
206,Haircare,Itchy Scalp,All,Roughness; Excess Oil,Fenugreek Seeds; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
207,Haircare,Hair Fall,All,Inflammation; Excess Oil,Gram Flour; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
208,Haircare,Dandruff,Straight,Roughness; Inflammation,Rose Water; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
209,Haircare,Oily Scalp,Oily,Flaky Skin; Uneven Tone,Potato Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
210,Haircare,Hair Fall,Normal,Roughness; Dark Spots,Lemon Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
211,Haircare,Dandruff,All,Itching; Dry Texture,Gram Flour; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
212,Haircare,Premature Greying,All,Uneven Tone; Dry Texture,Rose Water; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
213,Haircare,Hair Thinning,Curly,Inflammation; Itching,Neem Powder; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
214,Haircare,Hair Fall,Oily,Hair Shedding; Breakage,Green Tea; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
217,Haircare,Hair Growth,Oily,Flaky Skin; Excess Oil,Neem Powder; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
218,Haircare,Oily Scalp,All,Scalp Irritation; Flaky Skin,Potato Juice; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
220,Haircare,Oily Scalp,Dry,Breakage; Flaky Skin,Potato Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
221,Haircare,Frizzy Hair,Normal,Dull Appearance; Breakage,Honey; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
229,Haircare,Hair Growth,Normal,Dry Texture; Excess Oil,Egg Yolk; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
230,Haircare,Split Ends,Normal,Inflammation; Excess Oil,Neem Powder; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
231,Haircare,Frizzy Hair,Oily,Redness; Dark Spots,Green Tea; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
233,Haircare,Dry Hair,Curly,Uneven Tone; Inflammation,Banana; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
235,Haircare,Itchy Scalp,Curly,Roughness; Uneven Tone,Honey; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
236,Haircare,Hair Fall,Straight,Itching; Excess Oil,Aloe Vera; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
237,Haircare,Dry Hair,All,Hair Shedding; Inflammation,Egg Yolk; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
238,Haircare,Frizzy Hair,Oily,Breakage; Roughness,Papaya; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
242,Haircare,Hair Fall,Curly,Roughness; Dark Spots,Neem Powder; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
243,Haircare,Oily Scalp,Curly,Redness; Scalp Irritation,Potato Juice; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
245,Haircare,Hair Thinning,Normal,Inflammation; Dull Appearance,Rose Water; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
248,Haircare,Hair Thinning,All,Roughness; Dry Texture,Olive Oil; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
249,Haircare,Hair Thinning,Curly,Breakage; Scalp Irritation,Coconut Oil; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
250,Haircare,Dry Hair,Dry,Itching; Dark Spots,Banana; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
252,Haircare,Dry Hair,Normal,Dark Spots; Roughness,Rose Water; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
253,Haircare,Oily Scalp,Straight,Uneven Tone; Inflammation,Yogurt; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
254,Haircare,Split Ends,Curly,Uneven Tone; Inflammation,Coconut Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
255,Haircare,Split Ends,Oily,Dry Texture; Inflammation,Gram Flour; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
258,Haircare,Hair Growth,Oily,Dark Spots; Redness,Fenugreek Seeds; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
259,Haircare,Frizzy Hair,Normal,Excess Oil; Scalp Irritation,Coconut Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
261,Haircare,Hair Fall,Oily,Flaky Skin; Dull Appearance,Neem Powder; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
