ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions
52,Skincare,Pigmentation,Dry,Breakage; Excess Oil,Lemon Juice; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
53,Haircare,Hair Fall,Normal,Dull Appearance; Inflammation,Potato Juice; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
54,Skincare,Wrinkles,Combination,Hair Shedding; Dry Texture,Coconut Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
55,Haircare,Oily Scalp,All,Dull Appearance; Roughness,Banana; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
56,Haircare,Dry Hair,Curly,Redness; Itching,Yogurt; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
57,Haircare,Hair Thinning,Oily,Flaky Skin; Dull Appearance,Green Tea; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
58,Skincare,Pigmentation,Normal,Hair Shedding; Excess Oil,Curd; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
59,Skincare,Dry Skin,Combination,Dull Appearance; Scalp Irritation,Gram Flour; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
60,Skincare,Blackheads,Combination,Breakage; Dry Texture,Castor Oil; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
61,Haircare,Hair Growth,Normal,Scalp Irritation; Excess Oil,Honey; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
62,Haircare,Premature Greying,Normal,Dark Spots; Flaky Skin,Honey; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
63,Haircare,Itchy Scalp,All,Uneven Tone; Dull Appearance,Rose Water; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
64,Skincare,Dark Circles,Normal,Excess Oil; Breakage,Egg Yolk; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
65,Skincare,Wrinkles,Normal,Excess Oil; Dark Spots,Coconut Oil; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
66,Skincare,Open Pores,All,Dull Appearance; Scalp Irritation,Turmeric; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
67,Haircare,Oily Scalp,Curly,Scalp Irritation; Roughness,Turmeric; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
68,Skincare,Whiteheads,Sensitive,Scalp Irritation; Roughness,Olive Oil; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
69,Skincare,Dry Skin,Normal,Roughness; Excess Oil,Multani Mitti; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
70,Skincare,Blackheads,Normal,Excess Oil; Redness,Yogurt; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
71,Skincare,Acne,Combination,Inflammation; Dry Texture,Green Tea; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
72,Haircare,Hair Fall,Dry,Excess Oil; Hair Shedding,Rose Water; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
73,Skincare,Dull Skin,Normal,Redness; Itching,Yogurt; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
74,Skincare,Whiteheads,Sensitive,Flaky Skin; Itching,Coconut Oil; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
75,Haircare,Frizzy Hair,Normal,Excess Oil; Uneven Tone,Coconut Oil; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
76,Skincare,Dry Skin,Sensitive,Flaky Skin; Inflammation,Multani Mitti; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
77,Haircare,Premature Greying,Oily,Dull Appearance; Itching,Turmeric; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
78,Haircare,Dry Hair,Dry,Scalp Irritation; Dark Spots,Potato Juice; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
79,Skincare,Pigmentation,Oily,Dry Texture; Dark Spots,Egg Yolk; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
80,Skincare,Sensitive Skin,Combination,Breakage; Inflammation,Lemon Juice; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
81,Haircare,Dandruff,Curly,Inflammation; Flaky Skin,Gram Flour; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
82,Skincare,Dull Skin,Oily,Hair Shedding; Flaky Skin,Curd; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
83,Skincare,Sun Tan,Sensitive,Itching; Redness,Olive Oil; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
84,Haircare,Itchy Scalp,Dry,Dark Spots; Excess Oil,Turmeric; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
85,Skincare,Rashes,Dry,Inflammation; Flaky Skin,Curd; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
86,Haircare,Hair Fall,Dry,Excess Oil; Dry Texture,Aloe Vera; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
87,Skincare,Blackheads,All,Inflammation; Redness,Papaya; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
88,Haircare,Dandruff,Dry,Dark Spots; Hair Shedding,Potato Juice; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
89,Skincare,Whiteheads,Sensitive,Excess Oil; Inflammation,Fenugreek Seeds; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
90,Haircare,Dry Hair,Straight,Flaky Skin; Hair Shedding,Aloe Vera; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
91,Haircare,Itchy Scalp,All,Inflammation; Itching,Papaya; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
92,Skincare,Open Pores,Oily,Hair Shedding; Uneven Tone,Multani Mitti; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
93,Haircare,Dry Hair,All,Dark Spots; Itching,Papaya; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
94,Skincare,Wrinkles,Dry,Dull Appearance; Itching,Potato Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
95,Haircare,Oily Scalp,All,Hair Shedding; Inflammation,Neem Powder; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
96,Skincare,Whiteheads,Dry,Uneven Tone; Roughness,Potato Juice; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
97,Haircare,Itchy Scalp,Straight,Excess Oil; Scalp Irritation,Turmeric; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
98,Haircare,Dry Hair,All,Uneven Tone; Flaky Skin,Turmeric; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
99,Skincare,Acne,Sensitive,Dull Appearance; Hair Shedding,Multani Mitti; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
100,Skincare,Rashes,Dry,Itching; Hair Shedding,Gram Flour; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
101,Haircare,Frizzy Hair,All,Redness; Hair Shedding,Aloe Vera; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
102,Skincare,Sensitive Skin,All,Breakage; Dry Texture,Curd; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
103,Haircare,Dry Hair,Straight,Redness; Roughness,Castor Oil; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
104,Haircare,Dry Hair,Oily,Itching; Breakage,Castor Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
105,Haircare,Premature Greying,Curly,Uneven Tone; Dull Appearance,Rose Water; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
106,Skincare,Dark Circles,Normal,Redness; Breakage,Neem Powder; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
107,Haircare,Frizzy Hair,Oily,Dull Appearance; Hair Shedding,Castor Oil; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
108,Skincare,Open Pores,Combination,Flaky Skin; Redness,Rose Water; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
109,Skincare,Blackheads,Dry,Itching; Redness,Rose Water; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
110,Skincare,Oily Skin,Oily,Excess Oil; Flaky Skin,Gram Flour; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
111,Haircare,Premature Greying,Straight,Breakage; Dry Texture,Banana; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
112,Haircare,Premature Greying,Oily,Scalp Irritation; Excess Oil,Rose Water; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
113,Haircare,Split Ends,Curly,Uneven Tone; Inflammation,Honey; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
114,Haircare,Split Ends,Straight,Hair Shedding; Itching,Yogurt; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
115,Skincare,Pigmentation,All,Hair Shedding; Flaky Skin,Papaya; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
116,Skincare,Pigmentation,Dry,Dry Texture; Inflammation,Turmeric; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
117,Skincare,Whiteheads,Sensitive,Inflammation; Itching,Papaya; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
118,Skincare,Whiteheads,Combination,Uneven Tone; Breakage,Lemon Juice; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
119,Haircare,Frizzy Hair,Normal,Roughness; Itching,Fenugreek Seeds; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
120,Haircare,Split Ends,Normal,Uneven Tone; Flaky Skin,Aloe Vera; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
121,Haircare,Dry Hair,Curly,Inflammation; Dull Appearance,Olive Oil; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
122,Haircare,Itchy Scalp,Normal,Dark Spots; Scalp Irritation,Gram Flour; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
123,Haircare,Dry Hair,Curly,Excess Oil; Breakage,Aloe Vera; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
124,Haircare,Dandruff,Oily,Itching; Excess Oil,Olive Oil; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
125,Haircare,Itchy Scalp,Normal,Dull Appearance; Inflammation,Gram Flour; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
126,Haircare,Split Ends,All,Redness; Excess Oil,Multani Mitti; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
127,Haircare,Premature Greying,Dry,Redness; Scalp Irritation,Papaya; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
128,Skincare,Pigmentation,Combination,Uneven Tone; Flaky Skin,Curd; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
129,Haircare,Hair Fall,Dry,Scalp Irritation; Inflammation,Gram Flour; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
130,Skincare,Sensitive Skin,Dry,Hair Shedding; Dark Spots,Rose Water; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
131,Haircare,Hair Thinning,Straight,Dark Spots; Roughness,Aloe Vera; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
132,Skincare,Sun Tan,Combination,Itching; Redness,Potato Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
133,Skincare,Whiteheads,Sensitive,Excess Oil; Breakage,Onion Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
134,Skincare,Rashes,All,Scalp Irritation; Breakage,Rose Water; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
135,Skincare,Sensitive Skin,Combination,Uneven Tone; Dry Texture,Olive Oil; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
136,Skincare,Rashes,Combination,Dry Texture; Scalp Irritation,Rose Water; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
137,Skincare,Dry Skin,Normal,Excess Oil; Roughness,Papaya; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
138,Skincare,Pigmentation,Sensitive,Uneven Tone; Itching,Olive Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
139,Haircare,Oily Scalp,Dry,Scalp Irritation; Dark Spots,Castor Oil; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
140,Haircare,Premature Greying,Curly,Inflammation; Flaky Skin,Turmeric; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
141,Haircare,Oily Scalp,Normal,Dark Spots; Breakage,Potato Juice; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
